6/13 13:58:29.182  SPELL_CAST_START,Player-5-0E4AADFB,"Crispulum-Proudmoore",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,585,"Smite",0x2
6/13 13:58:30.383  SPELL_CAST_SUCCESS,Player-5-0E4AADFB,"Crispulum-Proudmoore",0x511,0x0,Creature-0-3777-1512-995-107556-000008AA50,"Bound Void Walker",0x10a28,0x0,585,"Smite",0x2,0000000000000000,0000000000000000,0,0,0,0,0,0,-1,0,0,0,0.00,0.00,702,0.0000,0
6/13 13:58:30.383  SPELL_DAMAGE,Player-5-0E4AADFB,"Crispulum-Proudmoore",0x511,0x0,Creature-0-3777-1512-995-107556-000008AA50,"Bound Void Walker",0x10a28,0x0,585,"Smite",0x2,0000000000000000,0000000000000000,0,0,0,0,0,0,-1,0,0,0,0.00,0.00,702,0.0000,0,133943,133943,-1,2,0,0,0,nil,nil,nil
